BGP4MP|01/01/17 12:00:10|A|2001:7f8:30:0:2:1:0:6939|6939|2001:7fb:fe0d::/48|6939 20764 12654|IGP
BGP4MP|01/01/17 12:00:10|A|193.203.0.91|13237|84.205.77.0/24|13237 20764 12654|IGP
BGP4MP|01/01/17 12:00:10|A|2001:7f8:30:0:2:1:1:3030|13030|2001:7fb:fe0d::/48|13030 6939 20764 12654|IGP
BGP4MP|01/01/17 12:00:10|A|2001:7f8:30:0:2:1:1:3030|13030|2001:7fb:fe0d::/48|13030 6939 20764 12654|IGP
BGP4MP|01/01/17 12:00:10|A|193.203.0.91|13237|84.205.67.0/24|13237 1103 12654|IGP
BGP4MP|01/01/17 12:00:10|A|193.203.0.91|13237|84.205.72.0/24|13237 1103 12654|IGP
BGP4MP|01/01/17 12:00:10|A|2001:7f8:30:0:2:1:1:3030|13030|2001:7fb:fe0d::/48|13030 20764 12654|IGP
BGP4MP|01/01/17 12:00:10|A|2001:7f8:30:0:2:1:1:3030|13030|2001:7fb:fe0d::/48|13030 20764 12654|IGP
BGP4MP|01/01/17 12:00:10|A|193.203.0.91|13237|193.243.214.0/24|13237 8928 15924 8386|IGP
BGP4MP|01/01/17 12:00:11|STATE|193.203.0.31|12635|3|2
BGP4MP|01/01/17 12:00:11|STATE|193.203.0.146|15598|3|2
BGP4MP|01/01/17 12:00:11|W|193.203.0.91|13237|193.243.214.0/24
BGP4MP|01/01/17 12:00:11|A|193.203.0.91|13237|193.243.214.0/24|13237 1299 9121 9121 15924 8386|IGP
BGP4MP|01/01/17 12:00:11|W|193.203.0.185|6939|110.170.17.0/24
BGP4MP|01/01/17 12:00:12|A|193.203.0.91|13237|193.243.214.0/24|13237 8928 15924 8386 8386|IGP
BGP4MP|01/01/17 12:00:12|A|2001:7f8:30:0:2:1:1:3030|13030|2001:7fb:fe07::/48|13030 6939 12654|IGP
BGP4MP|01/01/17 12:00:12|A|2001:7f8:30:0:2:1:1:3030|13030|2001:7fb:fe07::/48|13030 6939 12654|IGP
BGP4MP|01/01/17 12:00:12|A|193.203.0.91|13237|84.205.78.0/24|13237 1299 2914 12654|IGP
BGP4MP|01/01/17 12:00:12|A|2001:7f8:30:0:2:1:0:6939|6939|2001:7fb:fe07::/48|6939 12654|IGP
